years_forcing,months_forcing,precipforc_1,precipforc_2,tsaforc_1,tsaforc_2
1,1,0.0284864377245352,0.0284864377245352,-30.6151277793333,-30.6151277793333
1,2,0.0293884118144644,0.0293884118144644,-27.8938687580909,-27.8938687580909
1,3,0.0282692370551898,0.0282692370551898,-20.4592508515013,-20.4592508515013
1,4,0.0297337921246111,0.0297337921246111,-10.3033739236693,-10.3033739236693
1,5,0.0278592380271428,0.0278592380271428,-0.147496995837278,-0.147496995837278
1,6,0.0294383397678071,0.0294383397678071,7.28712091075229,7.28712091075229
1,7,0.0280438769497662,0.0280438769497662,10.0083799319948,10.0083799319948
1,8,0.0271691393346023,0.0271691393346023,7.28712091075231,7.28712091075231
1,9,0.0294179596798836,0.0294179596798836,-0.147496995837269,-0.147496995837269
1,10,0.0270371220951797,0.0270371220951797,-10.3033739236693,-10.3033739236693
1,11,0.0281022042130063,0.0281022042130063,-20.4592508515013,-20.4592508515013
1,12,0.0284496482152454,0.0284496482152454,-27.8938687580909,-27.8938687580909
2,1,0.0274749517546595,0.0274749517546595,-29.5149769527695,-29.5149769527695
2,2,0.0277458040177208,0.0277458040177208,-26.9357608009476,-26.9357608009476
2,3,0.027740556341765,0.027740556341765,-19.8892112304679,-19.8892112304679
2,4,0.0288713217692715,0.0288713217692715,-10.2634455081663,-10.2634455081663
2,5,0.0280488671738913,0.0280488671738913,-0.637679785864719,-0.637679785864719
2,6,0.0282456344531181,0.0282456344531181,6.40886978461499,6.40886978461499
2,7,0.029343843808454,0.029343843808454,8.98808593643689,8.98808593643689
2,8,0.0286911157891817,0.0286911157891817,6.408869784615,6.408869784615
2,9,0.0282343922054425,0.0282343922054425,-0.637679785864709,-0.637679785864709
2,10,0.0283765993430032,0.0283765993430032,-10.2634455081663,-10.2634455081663
2,11,0.0275245978294469,0.0275245978294469,-19.8892112304679,-19.8892112304679
2,12,0.0275052400043708,0.0275052400043708,-26.9357608009476,-26.9357608009476
3,1,0.028593727284461,0.028593727284461,-29.1946682890045,-29.1946682890045
3,2,0.0283752570907603,0.0283752570907603,-26.6244944209987,-26.6244944209987
3,3,0.027771579906931,0.027771579906931,-19.602648829321,-19.602648829321
3,4,0.0283432001333936,0.0283432001333936,-10.0106293696375,-10.0106293696375
3,5,0.0287075795467208,0.0287075795467208,-0.418609909954041,-0.418609909954041
3,6,0.0297950982961128,0.0297950982961128,6.60323568172366,6.60323568172366
3,7,0.0282259295722706,0.0282259295722706,9.17340954972947,9.17340954972947
3,8,0.0281292142354489,0.0281292142354489,6.60323568172367,6.60323568172367
3,9,0.0286877786604877,0.0286877786604877,-0.41860990995403,-0.41860990995403
3,10,0.0285736441635436,0.0285736441635436,-10.0106293696375,-10.0106293696375
3,11,0.0288838068493223,0.0288838068493223,-19.602648829321,-19.602648829321
3,12,0.0278298451046719,0.0278298451046719,-26.6244944209987,-26.6244944209987
4,1,0.0261042557474519,0.0261042557474519,-28.3178971033912,-28.3178971033912
4,2,0.0275006168553854,0.0275006168553854,-25.8503926568479,-25.8503926568479
4,3,0.0278997514763629,0.0278997514763629,-19.1090451409895,-19.1090451409895
4,4,0.0267919988984372,0.0267919988984372,-9.90019317858777,-9.90019317858777
4,5,0.0273155257532773,0.0273155257532773,-0.691341216186068,-0.691341216186068
4,6,0.0272771842240251,0.0272771842240251,6.05000629967235,6.05000629967235
4,7,0.0277179277209363,0.0277179277209363,8.51751074621565,8.51751074621565
4,8,0.0272813587856911,0.0272813587856911,6.05000629967237,6.05000629967237
4,9,0.0280443413298847,0.0280443413298847,-0.691341216186059,-0.691341216186059
4,10,0.0268743514656782,0.0268743514656782,-9.90019317858776,-9.90019317858776
4,11,0.0277862569702753,0.0277862569702753,-19.1090451409895,-19.1090451409895
4,12,0.0276331266609111,0.0276331266609111,-25.8503926568479,-25.8503926568479
5,1,0.0251990477907241,0.0251990477907241,-28.3515322431754,-28.3515322431754
5,2,0.0272038191441229,0.0272038191441229,-25.8687284904213,-25.8687284904213
5,3,0.0264909849839559,0.0264909849839559,-19.0855824926742,-19.0855824926742
5,4,0.0259713990434535,0.0259713990434535,-9.81963274217293,-9.81963274217293
5,5,0.0273733243786721,0.0273733243786721,-0.553682991671685,-0.553682991671685
5,6,0.0259223166733967,0.0259223166733967,6.22946300607541,6.22946300607541
5,7,0.0275373326241247,0.0275373326241247,8.71226675882959,8.71226675882959
5,8,0.0276123181970051,0.0276123181970051,6.22946300607542,6.22946300607542
5,9,0.0273730327205383,0.0273730327205383,-0.553682991671675,-0.553682991671675
5,10,0.0271209413896353,0.0271209413896353,-9.81963274217292,-9.81963274217292
5,11,0.0257422183694105,0.0257422183694105,-19.0855824926742,-19.0855824926742
5,12,0.0265686060288682,0.0265686060288682,-25.8687284904213,-25.8687284904213
6,1,0.0277978273302675,0.0277978273302675,-28.3066552559841,-28.3066552559841
6,2,0.0272324388926583,0.0272324388926583,-25.8434403983953,-25.8434403983953
6,3,0.0270773855106329,0.0270773855106329,-19.1138122575042,-19.1138122575042
6,4,0.0276550198527035,0.0276550198527035,-9.92096925902422,-9.92096925902422
6,5,0.0273070043550838,0.0273070043550838,-0.72812626054429,-0.72812626054429
6,6,0.0262196455844311,0.0262196455844311,6.00150188034686,6.00150188034686
6,7,0.0257573182340798,0.0257573182340798,8.46471673793566,8.46471673793566
6,8,0.02745294695213,0.02745294695213,6.00150188034687,6.00150188034687
6,9,0.0283905835178484,0.0283905835178484,-0.728126260544281,-0.728126260544281
6,10,0.0272969698592368,0.0272969698592368,-9.92096925902421,-9.92096925902421
6,11,0.0267095798649241,0.0267095798649241,-19.1138122575041,-19.1138122575041
6,12,0.0268088729470064,0.0268088729470064,-25.8434403983953,-25.8434403983953
7,1,0.0269924990013026,0.0269924990013026,-29.3793671278207,-29.3793671278207
7,2,0.0267303444864953,0.0267303444864953,-26.7892717652653,-26.7892717652653
7,3,0.0260654487397497,0.0260654487397497,-19.7129996383154,-19.7129996383154
7,4,0.0261510232455646,0.0261510232455646,-10.0466321488101,-10.0466321488101
7,5,0.0257224522471494,0.0257224522471494,-0.38026465930481,-0.38026465930481
7,6,0.0247607865393633,0.0247607865393633,6.69600746764508,6.69600746764508
7,7,0.0261979182407101,0.0261979182407101,9.28610283020049,9.28610283020049
7,8,0.0271032531794768,0.0271032531794768,6.6960074676451,6.6960074676451
7,9,0.0259042291945603,0.0259042291945603,-0.3802646593048,-0.3802646593048
7,10,0.0265045591807257,0.0265045591807257,-10.0466321488101,-10.0466321488101
7,11,0.0265175442913663,0.0265175442913663,-19.7129996383154,-19.7129996383154
7,12,0.0254866346923099,0.0254866346923099,-26.7892717652652,-26.7892717652652
8,1,0.0277975831061017,0.0277975831061017,-29.2199832503541,-29.2199832503541
8,2,0.0277265474833098,0.0277265474833098,-26.6705137385605,-26.6705137385605
8,3,0.0275138034026828,0.0275138034026828,-19.7052334999925,-19.7052334999925
8,4,0.0266240748747969,0.0266240748747969,-10.190483749631,-10.190483749631
8,5,0.0268582712286468,0.0268582712286468,-0.675733999269472,-0.675733999269472
