MB930_core_data_from_Pierre_Richard,
MB930_depth_cm,MB930_age_y
0,0
0.25,200
0.395,661
1.2,2177
1.8,3185
1.905,3845
2.35,5582
3.005,6499
3.2,6816
3.7,7430
4.005,7627
4.805,8167
5.015,8400
