"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
14230,195.7,195.7
14220,195.9,195.9
14210,196,196
14200,196,196
14190,196.2,196.2
14180,196.4,196.4
14170,196.6,196.6
14160,197.1,197.1
14150,197.4,197.4
14140,197.7,197.7
14130,197.9,197.9
14120,198.1,198.1
14110,198,198
14100,197.8,197.8
14090,197.2,197.2
14080,196.6,196.6
14070,196.1,196.1
14060,195.7,195.7
14050,195.9,195.9
14040,196.4,196.4
14030,197.2,197.2
14020,197.8,197.8
14010,198.3,198.3
14000,198.5,198.5
13990,198.4,198.4
13980,198.3,198.3
13970,198.2,198.2
13960,198,198
13950,197.8,197.8
13940,197.7,197.7
13930,197.6,197.6
13920,197.3,197.3
13910,197.2,197.2
13900,197,197
13890,196.7,196.7
13880,196.6,196.6
13870,196.5,196.5
13860,196.4,196.4
13850,196.6,196.6
13840,197.1,197.1
13830,197.6,197.6
13820,198.2,198.2
13810,198.8,198.8
13800,199.6,199.6
13790,200.4,200.4
13780,201.2,201.2
13770,202,202
13760,202.9,202.9
13750,203.7,203.7
13740,204.5,204.5
13730,205.2,205.2
13720,205.6,205.6
13710,205.7,205.7
13700,205.4,205.4
13690,205,205
13680,204.6,204.6
13670,204.1,204.1
13660,203.8,203.8
13650,203.4,203.4
13640,203,203
13630,202.7,202.7
13620,202.5,202.5
13610,202.2,202.2
13600,202.3,202.3
13590,202.2,202.2
13580,201.9,201.9
13570,201.3,201.3
13560,200.3,200.3
13550,198.7,198.7
13540,196.8,196.8
13530,194.9,194.9
13520,193.3,193.3
13510,192.4,192.4
13500,191.8,191.8
13490,191.7,191.7
13480,191.9,191.9
13470,192.4,192.4
13460,193.2,193.2
13450,193.9,193.9
13440,194.9,194.9
13430,195.8,195.8
13420,196.7,196.7
13410,197.5,197.5
13400,198.3,198.3
13390,199.1,199.1
13380,199.7,199.7
13370,200.2,200.2
13360,200.3,200.3
13350,200.3,200.3
13340,200.4,200.4
13330,200.7,200.7
13320,201,201
13310,201.8,201.8
13300,202.9,202.9
13290,204.3,204.3
13280,205.9,205.9
13270,207.4,207.4
13260,208.5,208.5
13250,209.1,209.1
13240,209.5,209.5
13230,209.2,209.2
13220,208.8,208.8
13210,208.1,208.1
13200,207.7,207.7
13190,207.4,207.4
13180,207.2,207.2
13170,207.2,207.2
13160,207.3,207.3
13150,207.3,207.3
13140,207.7,207.7
13130,208.5,208.5
13120,209.8,209.8
13110,211.9,211.9
13100,214.6,214.6
13090,217.4,217.4
13080,219.4,219.4
13070,220,220
13060,219.9,219.9
13050,219.1,219.1
13040,217.9,217.9
13030,216.1,216.1
13020,214,214
13010,211.7,211.7
13000,209.6,209.6
12990,208.1,208.1
12980,207.3,207.3
12970,206.9,206.9
12960,206.6,206.6
12950,206.4,206.4
